event_type
accel_changed
add_object
leave_reload_app
leave_session_ended
load_app
modify_object
move_object
pen_color_set
remove_object
resize_object
rotate_object
scrollposition_changed
selection_changed
set_page
tool_changed
undo_add_object
undo_modify_object
undo_remove_object
